rating,genre avg rating,director avg rating,director in genres avg rating,star_0 avg rating,star_0 & director avg rating,star_0 in genres avg rating,star_1 avg rating,star_1 & director avg rating,star_1 in genres avg rating,star_2 avg rating,star_2 & director avg rating,star_2 in genres avg rating,stars_0-3 avg rating,stars_0-3 & director avg rating,stars_0-3 in genres avg rating,stars_3-6 avg rating,stars_3-6 & director avg rating,stars_3-6 in genres avg rating,stars_6-10 avg rating,stars_6-10 & director avg rating,stars_6-10 in genres avg rating
7.1,7.711764705882356,7.333333333333333,7.2437499999999995,7.6,7.6,7.2875000000000005,nan,nan,7.1,7.425000000000001,7.425000000000001,7.326666666666664,7.460000000000001,7.460000000000001,7.2749999999999995,7.6,7.6,7.183333333333334,7.51111111111111,7.51111111111111,7.251162790697673
8.4,8.195348837209302,8.183333333333334,8.225,nan,nan,8.4,nan,nan,8.4,8.0,8.0,8.3,8.0,8.0,8.360000000000001,8.0,8.0,8.360000000000001,nan,nan,8.4
6.7,7.761971830985919,7.8,7.25,7.3,7.3,7.199999999999999,nan,nan,6.7,6.9,6.9,6.8,7.233333333333333,7.233333333333333,7.055555555555555,8.0,8.0,6.936363636363637,8.0,8.0,6.800000000000001
7.8,7.920312500000003,nan,7.8,8.433333333333335,8.433333333333335,7.875,nan,nan,7.8,nan,nan,7.8,8.433333333333335,8.433333333333335,7.83,nan,nan,7.799999999999999,7.9,7.9,7.8
8.1,8.0,nan,8.1,8.0,8.0,8.1,7.7,7.7,7.966666666666666,nan,nan,8.1,7.85,7.85,8.042857142857143,8.2,8.2,8.1,7.7,7.7,8.055555555555555
7.8,7.920312500000003,nan,7.8,7.9,7.9,7.825,nan,nan,7.8,nan,nan,7.8,7.9,7.9,7.81,nan,nan,7.799999999999999,8.0,8.0,7.8
7.8,7.6784313725490225,nan,7.8,7.9,7.9,7.8,nan,nan,7.8,nan,nan,7.8,7.9,7.9,7.799999999999999,nan,nan,7.799999999999999,nan,nan,7.8
7.8,8.019327731092435,nan,7.8,8.0,8.0,7.85,nan,nan,7.8,nan,nan,7.8,8.0,8.0,7.8199999999999985,nan,nan,7.799999999999999,8.0,8.0,7.828571428571428
9.2,8.21666666666667,nan,9.2,8.2,8.2,8.62,nan,nan,9.2,nan,nan,9.2,8.2,8.2,8.877777777777776,8.175,8.175,8.822222222222223,nan,nan,9.2
7.5,8.098275862068961,nan,7.5,8.0,8.0,7.75,nan,nan,7.5,nan,nan,7.5,8.0,8.0,7.625,nan,nan,7.5,8.1,8.1,7.5
7.7,8.035915492957747,nan,7.7,nan,nan,7.7,nan,nan,7.7,nan,nan,7.7,nan,nan,7.7,nan,nan,7.7,nan,nan,7.7
6.8,7.722784810126588,7.25,7.099999999999999,nan,nan,6.8,nan,nan,6.8,nan,nan,6.8,nan,nan,6.8,8.2,8.2,6.8,7.25,7.25,7.089090909090909
7.4,8.173684210526316,nan,7.4,nan,nan,7.4,nan,nan,7.4,nan,nan,7.4,nan,nan,7.400000000000001,nan,nan,7.400000000000001,nan,nan,7.4
